year, PHWABSF,AAGE,ALS,ANS,AWLLS,AWLNS,Access to green space,Difficulty making ends meet,EAP,ELFA,ER,FSAN,FTUELT,GGWH,GWG,HA,HDBRIP,HDI,HIAH,HO,HSG,H,JS,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,MNW,NAB,NEET,Not FSAN,Not HSG,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,Satisfaction with personal relationships score less than 5,Satisfaction with personal relationships,Satisfaction with time use score less than 5,Satisfaction with time use,Self-reported depression,TAHDIQ,TALS,TANS,TEFTED,TMSD,TO,TRSD,TSISI,TSSD,TWHSD,Top LS scores quintile,Top personal relationship satisfaction scores quintile,Top satisfaction with time use quintile,VT,hco,SADdeaths
2004,,32912.0,,,,,,45.40000153,,,66.58215504,,,,,81.54712226,12.0,23326.0,,,,0.9,,79.4,6.764937811,,,,,5.682633179,,,17.18832,,,77.7,8.9,15.12990199,,,,,,,,,,,,,5.7,,,,,,,,,,,,,76.62,,
2005,,32803.0,,,,,,50.79999924,99.242,,67.47144317,,,,,80.34110802,12.9,23390.0,0.6206,,,1.0,49.78416443,79.6,6.665703209,,,,,5.264190409,,,17.002316,,,77.4,8.9,14.97239453,,,,,,,,,,,,,5.9,,,,,,,,,,,,,,,
2006,,33193.0,,,,,,52.59999847,,,68.54346133,65.04889714,15.77777778,,17.72575251,80.77226435,12.7,24578.0,3.837,,,0.8,,79.9,6.027930023,,,16.18557134,,4.952239868,,15.78354363,13.215844,32.61820379,,76.7,9.2,14.91165542,459.2019867,459.7111847,473.377964,82.83263377,,,,,,,,,5.8,,,3.340882002,,,,,,,,,,,,
2007,,33199.0,,,,,,52.40000153,,,68.67241558,56.00048499,,,,80.82450715,13.2,25289.0,7.461,,,1.1,,79.7,5.573546281,6.641634464,,19.02561757,,4.237972949,,13.65613161,13.129779,42.37772696,,76.6,8.8,14.46546863,,,,80.06750995,,,,,,,,,5.6,,,,,,,,,,,,,74.14,,
2008,,32685.0,,,,,,54.5,,,69.12178025,,,,,79.38487086,12.9,25433.0,22.458,,,1.3,,80.2,5.573507453,6.977180958,,,,3.713040528,,,12.606109,,,76.0,9.4,13.88811385,,,,,,,,,,,,,5.6,,,,,,,,,,,,,,,
2009,,34228.0,,,,,,57.0,,,68.34753562,60.3090266,,,,79.44073591,12.9,25526.0,33.1417,,,1.4,,80.4,5.595225833,10.36340523,,20.58383108,,3.942667134,173583.0,13.69529334,13.04044,38.76609684,,75.3,9.7,13.0108571,466.0963727,482.7762418,470.1157642,79.00777358,,,,,,,,,5.6,,,,,,,,,38.784031,,,,70.92,,
2010,2.238912135,32665.0,,,,,,58.40000153,99.306,,66.60453103,51.0291566,12.54761905,,9.90990991,78.19315775,14.1,23338.0,41.181,19.09456253,,1.4,46.85415268,80.6,5.153596078,10.66972828,,13.04709461,,5.75657998,,19.27626627,14.396307,48.86607061,,75.5,9.7,11.24869853,,,,86.11189782,,,,,,,,,5.9,,,2.994959677,,,,,,,,,,,27.43142545,
2011,2.525157854,30593.0,,,,,,62.59999847,99.351,,62.46559775,52.78504432,,,,76.07085051,15.1,20569.0,45.3808,18.97927821,,1.6,,80.8,5.171834809,14.8433609,,14.79872308,,8.932963331,,24.50691066,16.271975,46.97172039,,76.4,9.0,10.25766241,,,,84.89291143,,,,,,,,,6.2,,,,,,,,,,,,,,35.22544503,
2012,0.704271812,28812.0,,,,,69.46991504,73.09999847,98.927,,57.89236118,46.58391425,,,,73.57826464,14.9,18244.0,50.5042,19.9897781,,1.5,,80.7,5.624441439,20.78995514,,18.72729733,,14.59139137,,23.50415724,20.322437,53.17276608,,74.9,9.3,8.882468578,452.973427,477.1971766,466.7220301,80.96081062,,,,,,,,,6.3,,,,,,,7.0,,,,,,62.47,41.30520821,
2013,1.224760711,26929.0,,,,,,78.30000305,98.392,,55.64336611,52.92572652,,67.49533081,,73.84078554,15.1,17353.0,55.0208,18.64889711,,1.4,,81.4,6.114847487,22.68062401,19.8101759,31.10015349,6.160032393,18.58482824,,32.16364511,20.929634,46.56547338,,73.9,10.5,7.98828385,,,,68.15038765,,,,21.85594451,7.01099895,36.18821514,6.11018356,,6.3,,,,,15.03333333,,,,,3.609328686,2.610426728,3.248096843,,43.94755065,
2014,0.641086278,26819.0,253.88851,251.86061,6.9897669,9.0242892,,78.09999847,97.671,55.36,56.04512265,61.72029363,15.96078431,,7.171581769,75.39736164,14.8,17722.0,64.6603,18.65812689,69.89657599,1.0,,81.5,6.370472441,25.27973557,,16.7581726,,19.62595383,103168.0,24.25817136,20.795906,37.06206461,15.590573,73.5,10.8,7.27568447,,,,83.19108927,,,,,,,,4.4,6.3,1.603087664,1.644046903,3.307206068,,,,,,42.42382,,,,,41.87580943,10.56251431
2015,0.591627136,27082.0,,,,,,77.69999695,98.385,,57.64349516,62.51853679,,,,76.31311037,14.9,18135.0,67.0966,18.22671145,,0.9,47.93706894,81.1,6.588792595,22.98936462,,16.49960255,,18.36268006,,17.46629574,18.290163,36.99014021,,74.4,10.0,7.303358679,453.6298507,467.0395379,454.8288166,83.39183621,,,,,,,,,6.4,,,,,,,,,,,,,63.94,39.53390419,10.88256264
2016,0.655463245,26461.0,,,,,,76.80000305,96.987,,59.10110337,61.10438923,,,,76.58877625,14.4,18238.0,68.0573,18.08647215,,0.8,,81.5,7.356224937,21.67679024,,19.72398112,,17.05895328,,21.69010675,16.44035,38.48605074,,73.9,10.4,7.641128112,,,,80.19783622,,,,,,,,,6.0,,,,,,,,,,,,,,41.53900146,10.3707962
2017,0.579206878,26630.0,,,,,,77.19999695,97.033,,60.5534616,56.38319971,,,,76.68039143,12.6,18177.0,70.6434,17.78980792,,0.8,,81.4,6.47959415,,,24.71004906,,15.75309558,,25.43895453,16.126925,43.33867075,,74.0,10.4,6.788511313,,,,75.28995094,,,,,,,,,5.4,,,,,,,,,,,,,,37.95348108,10.72716045
2018,0.670897122,25400.0,,,,,69.04221644,74.09999847,97.082,69.71,62.2875139,57.49104964,16.42857143,,5.909090909,77.42180901,12.1,18423.0,76.125,17.9696247,,1.0,,81.9,5.729654912,,12.72675544,20.54676495,6.437686333,13.68435906,96009.0,17.50384334,15.142791,41.87511978,,76.2,9.3,6.516983958,451.3703438,457.4143948,451.6327416,78.95367139,19.87412004,19.87412004,19.87412004,28.95234322,7.079747675,50.97054238,5.547764372,,5.0,,,3.458036984,1.692172408,,1.7869488,,1.659560919,41.284111,2.610609578,2.246774733,4.561872027,,31.20737374,11.19847107
2019,0.614271266,25630.0,,,,,,71.0,96.611,,64.10075597,56.63669954,15.39264962,,5.909090909,78.33153053,11.5,19560.0,78.0646,18.07612181,,0.9,,81.7,5.11695462,,,10.87085384,,12.26348499,,15.58275544,13.913264,43.04480211,,79.1,6.6,6.415158273,,,,88.68775693,,,,,,,,2.7,5.0,,,3.351635846,,,,,,,,,,57.78,29.19535637,10.81669235
2020,0.823028665,25720.0,,,,,,69.80000305,,,64.04304385,68.80073815,14.4725859,,,77.83499183,13.0,19130.0,79.9556,18.19344759,,,,81.4,4.475560301,,,22.13646141,,10.98475434,,21.70963108,13.000989,30.97989369,,78.4,6.8,5.44849054,,,,77.81892634,,,,,,,,,5.6,,,3.245041953,,,,,,,,,,,24.65305626,
2021,,25744.0,,,,,,71.0,,,65.38930998,65.3611077,,,,78.67509948,,20535.0,84.9847,,,,,80.3,4.243057383,,11.23000011,14.95297084,6.8,9.367399595,,20.80174395,12.774416,33.50268489,,,,5.740435666,,,,84.95073142,,,,,,,,,,,,,,,,,,,2.40182209,,,,,
2022,,,,,,,,,,,,65.37547433,,,,,,,,,,,,,,,,12.43073808,,,,,,33.79357889,,,,6.128234795,,,,87.264797,,,,,,,,,,,,,,,,,,,,,,,,
