year, PHWABSF,AAGE,Access to green space,Difficulty making ends meet,EAP,ER,FSAN,FTUELT,GWG,HDBRIP,HIAH,HO,H,JS,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,NAB,NEET,Not FSAN,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,Satisfaction with personal relationships score less than 5,Satisfaction with personal relationships,Satisfaction with time use score less than 5,Satisfaction with time use,Self-reported depression,TAHDIQ,TEFTED,TMSD,TRSD,TSSD,Top LS scores quintile,Top personal relationship satisfaction scores quintile,Top satisfaction with time use quintile,VT,hco,SADdeaths
2004,,55977.0,,18.79999924,,85.56729477,,,,5.8,,,1.3,,81.1,22.66836132,,,,,0.404867787,,6.063859,,78.7,6.6,7.915476477,,,,,,,,,,,,,3.7,,,,,,,,,,17.49373817
2005,,60319.0,,13.19999981,27.217,86.04572329,,,,6.3,63.467,,1.0,,81.5,23.79564549,,,,,0.392537528,,5.1024284,,79.5,6.1,6.47189664,,,,,,,,,,,,,4.0,,,,,,,,,,17.63881683
2006,,63492.0,,11.19999981,,86.53321212,,7.333333333,23.2696281,5.7,72.0759,,0.3,,81.2,23.19399963,,,,,0.261614451,,5.1368403,,80.9,4.8,10.33708914,505.5448283,484.445272,490.7937745,,,,,,,,,,4.2,2.868257757,,,,,,,,,15.21393585
2007,,65399.0,,11.30000019,,87.02333129,,,,6.6,76.099,,0.6,,81.5,22.72939481,1.385899782,,,,0.24247124,,4.665853,,79.2,4.6,4.875321771,,,,,,,,,,,,,4.1,,,,,,,,83.6,,21.14195824
2008,,57976.0,,9.5,,85.64607952,77.41187942,,,6.6,83.2488,,0.3,,81.6,21.19764998,1.760205865,,2.254323674,,0.155193439,7.133933854,5.3323913,18.03804774,80.5,4.2,3.803980866,,,,97.62509748,,,,,,,,,4.5,,,,,,,,,,22.07113457
2009,,49081.0,,16.89999962,,81.37939374,,,,6.2,86.7289,,0.3,,81.8,15.71544647,1.997430205,,,,0.579961195,,10.036972,,80.3,4.4,5.323012951,506.6691637,500.2833193,495.5984986,,,,,,,,,,3.8,,,,,,,,85.12,,18.60604477
2010,0.0,50508.0,,25.79999924,25.767,81.32071868,,6.450980392,16.46039604,6.6,86.9647,7.190866023,0.6,,81.9,14.46041731,2.087476254,,,,1.806745892,,9.6827993,,77.8,5.2,2.51865378,,,,,,,,,,,,,3.5,2.645048815,,,,,,,,21.5841502,20.30443001
2011,0.0,52651.0,,24.79999924,25.769,81.21990501,,,,5.8,92.4215,7.613527775,0.8,,82.4,15.77009297,1.900665879,,,,2.198075413,,9.3661766,,77.6,6.4,3.768228807,,,,,,,,,,,,,3.6,,,,,,,,,25.00372827,18.93773842
2012,0.0,52378.0,37.66362881,23.20000076,3.469,81.78170262,79.52690647,,,6.1,92.7497,7.075936347,0.3,,83.0,16.15193978,1.679581404,,2.096038041,,1.90432841,5.496709774,8.7188425,14.51623978,76.8,5.0,2.816240319,492.7956975,482.52244,478.1545974,97.55065915,,,,,,,,,3.6,,,,,,,,,26.76860988,21.00045013
2013,0.0,53176.0,,23.70000076,3.469,82.72888466,78.12902502,,,4.5,95.4894,8.123586327,0.9,,82.1,16.15433474,1.641666174,4.182625934,3.25232442,7.948924726,1.304538975,8.78641832,7.3430262,15.52775264,76.6,5.8,4.660454798,,,,95.73772439,,,,7.907133244,8.150067295,21.45748988,7.42780027,,3.4,,,,,1.9,1.774723633,2.653518602,81.44,29.29125726,25.27585983
2014,0.0,53931.0,,21.29999924,3.469,83.31818944,,8.225490196,13.84083045,6.7,92.6736,6.017637253,0.3,,82.9,16.42548581,1.563442111,,,,0.818432809,,7.6643434,,76.1,6.3,1.228233401,,,,,,,,,,,,8.8,3.6,2.689341189,,,,,,,,28.26128602,22.77276802
2015,0.0,57497.0,,19.79999924,3.469,85.20182031,85.77323066,,,5.4,,6.383850425,0.9,23.80674171,82.5,17.15267095,1.290753722,,1.97167925,,0.760037039,10.2481304,5.8031359,10.31912196,76.3,5.7,4.861744151,488.0331844,481.525541,473.2300862,98.02832075,,,,,,,,,3.6,,,,,,,,,32.88627565,25.6272316
2016,0.0,61991.0,,14.10000038,3.469,86.51639313,88.27011325,,,6.0,,5.641061813,0.3,,82.2,16.48049875,0.986737013,,1.505996537,,0.312191264,5.291199257,5.4077287,9.399808922,76.1,6.4,5.413061718,,,,98.49400346,,,,,,,,,3.8,,,,,,,,79.18,25.36649406,25.60669899
2017,,67897.0,,12.10000038,3.469,85.95888417,83.98080172,,,4.9,96.1881,,0.9,,82.6,15.16748914,,,3.324718672,,0.353943341,4.918140382,5.3764696,12.46664229,77.3,5.7,4.728845068,,,,96.67528133,,,,,,,,,3.5,,,,,,,,81.2,,25.47602844
2018,0.0,71757.0,39.43915015,11.10000038,3.469,84.74613824,,7.598639456,12.90124719,,97.0212,9.194551408,0.3,,82.9,14.59790671,,3.556504741,,7.921507525,0.43168282,,6.1412406,,76.6,5.9,5.165733965,495.1873762,473.9743169,475.0241063,,13.70882095,13.70882095,13.70882095,10.36020009,8.07811172,21.40880196,7.44000861,,,2.664735945,1.627794027,1.835017681,1.679231167,1.789410908,1.84104555,2.61320214,,22.72274941,19.59657478
2019,,71003.0,,,3.469,84.27153042,86.4308746,,,,94.5557,,,,83.2,12.94968513,,,1.802507944,,0.303618439,8.190127247,5.6460905,10.69477594,,,1.68071464,,,,97.37033502,,,,,,,,7.7,,,,,,,,,,,17.05640602
2020,,68119.0,,,,81.30132727,85.38204907,,,,96.7212,,0.6,,83.1,11.69949557,,,1.671389144,,0.693889778,8.3594598,8.2441473,10.89159346,,,2.196993415,,,,98.32861086,,,,,,,,,,,,,,,,,,,20.31049919
2021,,72047.0,,,,82.74964854,84.66174363,,,,94.8967,,,,83.2,11.14365129,,,2.003840956,,1.314620409,7.367375871,6.5080671,13.14537128,,,2.440400009,,,,97.48303075,,,,,,,,,,,,,,,,,80.09,,
2022,,,,,,,85.1989887,,,,,,,,,,,,1.512428751,,,,,12.1111019,,,2.392039293,,,,97.99675736,,,,,,,,,,,,,,,,,,,
