year, PHWABSF,AAGE,Access to green space,Difficulty making ends meet,EAP,ELFA,ER,FSAN,FTUELT,GWG,HA,HDBRIP,HDI,HIAH,HO,H,JS,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,MNW,NAB,NEET,Not FSAN,PH+,PH,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,Satisfaction with personal relationships score less than 5,Satisfaction with personal relationships,Satisfaction with time use score less than 5,Satisfaction with time use,Self-reported depression,TAHDIQ,TEFTED,TMSD,TRSD,TSSD,TWHSD,Top LS scores quintile,Top personal relationship satisfaction scores quintile,Top satisfaction with time use quintile,VT,hco,SADdeaths
2004,,13960.0,,,,,69.9021259,,,,82.02467454,14.2,10866.0,,,9.7,,70.9,11.94771856,,,,,5.024750039,,,14.560471,,,,,,,,,,,,,,,,6.8,,,,,,,,,,,42.08533478
2005,,16237.0,,52.09999847,98.695,,70.88402569,,,,82.18233087,17.6,12122.0,13.9319,,10.3,37.45407486,70.6,11.24248599,,,,,4.528285164,,,12.952822,,35.0,21.7,,,,,,,,,,,,,7.9,,,,,,,,,,,43.45988083
2006,,17904.0,,46.79999924,,,74.92000488,47.49226554,30.04761905,8.465608466,79.84873409,14.6,13760.0,22.5044,,9.8,,70.6,11.20639562,,,11.0652086,,2.443099909,,18.0896871,11.317369,47.88735822,40.4,20.0,486.1660835,479.4918354,489.5437782,84.73646074,,,,,,,,,6.3,5.986111111,,,,,,,,60.98,,45.23054886
2007,,22073.0,,39.90000153,,,76.96804953,46.68585075,,,78.61061797,18.6,14971.0,31.9235,,8.6,,70.8,8.170980492,3.514342785,,15.79654698,,1.676304327,,15.39576201,11.470664,46.82557557,42.5,19.1,,,,80.23609006,,,,,,,,,7.4,,,,,,,,,,,41.97890472
2008,,22775.0,,39.79999924,,,77.27529418,53.0524815,,,79.50938936,19.1,15566.0,39.6576,,7.8,,72.1,5.758112972,5.429223061,,13.86943243,,1.927170541,,15.90065772,10.134067,37.63494939,43.5,18.0,,,,82.05853208,,,,,,,,,7.4,,,,,,,,,,,53.09781647
2009,,20567.0,,48.0,,,69.50994972,44.14412416,,,79.85322378,14.1,13814.0,50.2337,,6.5,,72.8,4.492850783,12.47978592,,18.65689748,,4.636192188,,21.26008238,17.671797,47.58535006,46.0,16.8,481.9538221,483.9601454,493.8789239,77.98058613,,,,,,,,,6.5,,,,,,,,,,,50.63071442
2010,36.85876727,19772.0,,56.0,99.576,,67.2166832,,22.0,19.05564924,79.58247435,13.3,13419.0,52.5646,,6.4,34.11174011,73.1,2.497037243,14.61833572,,,,8.915086092,,,19.46158,,47.8,17.5,,,,,,,,,,,,,6.2,4.476923077,,,,,,,,64.72,10.6892921,47.7513504
2011,36.47571206,19086.0,,57.0,96.516,,69.46206822,48.15269271,,,78.1154262,12.9,12979.0,59.3778,34.07957554,6.1,,73.9,2.276879105,13.34204865,,15.99701939,,8.997200271,,18.16333014,15.298793,45.41623941,46.0,17.7,,,,81.57105301,,,,,,,,,6.2,,,,,,,,,59.49,11.86483726,45.76049805
2012,34.40741003,19861.0,68.49447841,52.09999847,94.894,,70.86193037,58.27304502,,,76.9962343,13.3,13588.0,67.2844,27.61648893,6.2,,74.1,2.562071039,12.52975464,,14.44968274,,7.987459799,,14.5996705,14.714539,34.46982161,46.7,15.4,490.5710218,488.6944141,502.1861936,82.6552744,,,,,,,,,6.1,,,,,,,,,,13.87732774,47.33123016
2013,32.90088475,20811.0,,54.40000153,96.251,,72.50100025,55.93986014,,,77.11110907,14.5,14090.0,70.1288,29.14285958,5.8,,74.3,2.276705272,9.171332359,12.92049885,15.84418331,6.468279476,5.875541759,,16.94302684,11.593665,37.91926178,45.2,16.8,,,,79.61568178,,,,7.5341449,8.068989157,20.83136026,7.085207969,,6.3,,,,,,2.553705808,1.750744778,2.29090927,,8.186073601,43.84442902
2014,31.8607986,22206.0,,49.0,96.876,62.22,72.92686123,56.57560401,21.66666667,21.12299465,77.18369186,16.4,14911.0,73.0891,31.09872937,6.7,,74.5,2.44794013,7.856367588,,11.39872387,,4.778236078,27559.0,17.99330838,11.342143,35.41261904,45.8,17.2,,,,84.5950056,,,,,,,,4.7,6.4,4.0,,,,63.376289,,,,58.8,8.702498674,44.0573349
2015,29.58281934,24062.0,,42.70000076,89.501,,74.38393064,61.60385342,,,78.37431189,16.2,15966.0,74.3762,32.47942626,4.9,30.29340172,74.8,2.348445618,6.695946217,,11.5459075,,4.586929634,,17.28103147,9.0240812,29.62760683,46.2,16.3,482.3050717,487.7580985,490.2250184,84.16942974,,,,,,,,,6.3,,,,,,,,,,7.62077868,45.16368484
2016,27.84815133,25473.0,,39.29999924,80.254,,75.13325303,64.04744076,,,78.84269123,16.7,16810.0,75.0844,33.75361264,4.4,,74.9,2.282396853,6.285281658,,8.028107529,,4.110423486,,16.18060979,11.901421,26.84711173,47.2,15.7,,,,88.78236434,,,,,,,,,6.4,,,,,,,,,,7.17773214,42.168293
2017,25.44902563,26387.0,,40.5,65.851,83.23,76.43546966,61.65916433,,,78.98086553,16.6,17391.0,76.4973,32.68213272,3.6,,74.9,1.745183404,,,10.03215303,,3.357083989,38543.0,17.96313708,11.974056,26.58048265,44.2,16.9,,,,85.60212121,,,,,,,,,6.7,,,,,52.12154,,,,,7.882726938,39.56027222
2018,21.88285142,27357.0,68.87583945,32.09999847,72.771,,78.22560593,58.19237555,21.93333333,20.28985507,79.40019614,17.5,18266.0,78.7898,34.20690596,3.8,,75.1,1.722143167,,10.11268869,8.370757295,6.737704476,3.165669817,,17.44907583,8.5120964,34.39428935,46.9,15.5,496.1263306,478.6986742,487.2505882,88.15140658,9.158704063,9.158704063,9.158704063,11.24384781,7.753210351,22.30022563,6.999675225,,6.6,4.079591837,1.52690196,1.651976943,1.579974532,,2.325895946,1.926388844,2.334085362,54.58,7.195388526,41.10483551
2019,22.60648608,28547.0,,25.0,69.49,,79.00906784,60.11136126,22.21255179,19.75940106,79.64463103,16.2,18899.0,83.3023,33.14557672,3.2,,75.7,1.386373551,,,6.233280489,,2.482591073,,16.51847933,8.1775236,31.31780474,47.1,15.4,,,,90.40861047,,,,,,,,5.7,6.2,4.087938109,,,,,,,,,5.341581255,36.9560318
2020,18.74374598,29813.0,,24.20000076,,,78.64219534,72.32098119,21.73669085,,80.00799645,16.9,19353.0,87.5546,33.98613632,3.3,,75.5,1.648425596,,,7.137452026,,2.300300468,,12.3277633,9.4070539,21.99458054,49.7,13.7,,,,92.01058225,,,,,,,,,6.7,4.06697174,,,,,,,,,6.86327517,35.16119003
2021,,32235.0,,20.10000038,,,77.07459968,78.02133397,,,80.95661643,16.0,21274.0,89.4787,,,,73.4,0.871474062,,8.219178766,4.559007998,6.7,2.384855819,,11.04488881,10.87,16.35986611,,,,,,94.73635479,,,,,,,,,6.3,,,,,,2.134912491,,,,,
