year, PHWABSF,AAGE,ALS,ANS,AWLLS,AWLNS,Access to green space,Difficulty making ends meet,EAP,ELFA,ER,FSAN,FTUELT,GWG,HA,HDBRIP,HDI,HIAH,HO,HSG,H,JS,LE,LHWPW,LS score less than 5,LSS,LS,LTUR,MNW,NAB,NEET,Not FSAN,Not HSG,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,Satisfaction with personal relationships score less than 5,Satisfaction with personal relationships,Satisfaction with time use score less than 5,Satisfaction with time use,Self-reported depression,TAHDIQ,TALS,TANS,TEFTED,TMSD,TRSD,TSSD,TWHSD,Top LS scores quintile,Top personal relationship satisfaction scores quintile,Top satisfaction with time use quintile,VT,hco,SADdeaths
2004,,20950.0,,,,,,,,,73.24313598,,,,83.53561726,13.7,14407.0,,,,8.7,,72.0,1.274616939,,,,5.641974376,,,,,,,,22.09519528,,,,,,,,,,,,,6.3,,,,,,,,,,,52.46,,58.64419937
2005,,23144.0,,,,,,30.29999924,99.957,,74.60442304,,,,82.62230058,14.5,15443.0,11.5822,,,9.5,46.13145065,71.2,1.336425204,,,,4.456438962,,,8.8341198,,,42.4,19.6,23.03872771,,,,,,,,,,,,,6.4,,,,,,,,,,,,,59.70788956
2006,,26504.0,,,,,,28.70000076,,,74.77570841,34.32661073,25.9047619,16.81818182,82.83670799,13.6,17103.0,19.4129,,,8.0,,71.0,1.135628631,,6.532619918,,2.641028697,,20.83958396,,57.44196699,,43.3,18.3,23.10146254,486.4213348,470.0707557,487.9566983,87.38079858,,,,,,,,,5.6,,,4.689839572,,,,,,,,,,58.56241226
2007,,28231.0,,,,,,23.70000076,,,76.31299321,30.37117653,,,82.06668628,13.2,17599.0,34.1279,,,7.4,,70.7,1.231373201,,5.41587711,,1.402129463,,25.52746495,,59.37946853,,48.5,16.7,22.76934987,,,,86.05615519,,,,,,,,,5.8,,,,,,,,,,,,,65.12590027
2008,,28747.0,,,,,,25.89999962,,,75.29010339,32.79893202,,,82.56440793,14.6,19052.0,42.8626,,,7.7,,71.7,1.316238101,,7.916960105,,1.268224117,,22.77904413,,56.45082647,,46.5,18.9,15.53256625,,,,83.78612509,,,,,,,,,6.4,,,,,,,,,,,,,64.57498169
2009,,24963.0,,,,,,34.40000153,,,70.89699931,28.6513003,,,82.66263766,15.0,17291.0,49.8459,,,6.2,,72.9,0.827826229,,5.962922432,,3.312762207,,23.63934994,,60.04055089,,48.0,18.6,11.62112859,476.6023031,468.4427345,491.4097908,82.51947856,,,,,,,,,7.1,,,,,,,,,,,51.76,,58.59703827
2010,34.40826237,25058.0,,,,,,37.70000076,99.944,,68.36799542,37.57444347,23.93333333,10.64257028,82.85765868,12.7,17545.0,53.5681,,,5.5,44.14573288,73.3,0.613316782,,10.48729661,,7.525845746,,26.30340011,14.017818,53.89423904,,50.2,18.7,9.516304389,,,,78.2456805,,,,,,,,,5.7,,,4.306382979,,,,,,,,,19.85202283,55.90451813
2011,34.36401188,25569.0,,,,,,35.90000153,99.944,,71.12571574,39.0992797,,,81.07264426,12.6,18009.0,55.6535,11.4530161,,5.1,,73.7,0.481757293,,8.00840009,,8.165213002,,24.55992104,,52.8303435,,43.9,19.9,9.696690153,,,,82.39139793,,,,,,,,,5.3,,,,,,,,,,,,31.44762814,55.18363571
2012,39.23224807,25996.0,,,,,75.78816694,37.5,99.661,,72.48108268,44.89922887,,,80.42983762,14.3,18466.0,59.6024,11.74472794,,4.4,,74.1,0.381603286,,7.559718351,,6.708094553,,21.00167141,,46.97359556,,44.3,20.6,10.02117097,478.8232775,477.3066119,495.7000877,85.41444515,,,,,,,,,6.2,,,,,,,,,,,,,51.83494186
2013,38.76017034,26981.0,,,,,,32.90000153,99.944,,73.55575719,45.63299639,,,80.43343371,12.4,19235.0,64.0958,19.49315369,,4.8,,74.1,0.250747967,12.53737956,8.065334952,6.729421375,5.145723306,,24.02205739,,46.43159348,,46.1,18.7,8.681300378,,,,84.12485952,,,,9.98305724,8.027975599,25.64380555,6.796199404,,6.1,,,,,,,,2.627835016,1.941363311,2.766319913,,29.10580635,56.34057617
2014,32.297346,28208.0,266.82379,267.19881,3.7333316,6.0897592,,29.39999962,99.944,,74.993379,46.96374489,19.95833333,12.47974068,80.10914353,15.7,19598.0,65.3717,20.58584541,67.90643713,3.8,,74.7,0.549474049,,8.342401816,,4.871421539,,23.70989974,10.189408,45.56306073,13.69820015,44.9,17.9,9.070920328,,,,82.57290445,,,,,,,,3.9,7.3,1.491665363,1.578782916,3.78369906,,,,,,,,47.37,,52.9095459
2015,30.69768548,30055.0,,,,,,28.89999962,89.352,,76.40486368,52.78141196,,,80.67742767,16.5,20475.0,67.328,17.92685837,,4.1,30.77374077,74.6,0.67883508,,6.57315605,,3.995663012,,20.59053765,10.825675,42.1723439,,42.6,17.7,8.181395575,478.3833818,472.4065522,475.4089465,85.38936148,,,,,,,,,7.2,,,,,,,,,,,,17.96526313,52.91480255
2016,37.13071644,31601.0,,,,,,29.60000038,59.884,62.27,78.16274887,53.84240717,,,81.01303887,16.8,21910.0,71.0244,16.48491174,,3.4,,74.9,0.677733303,,5.792142983,,3.089900824,101338.0,19.04306176,9.0652514,37.11741226,,43.2,17.1,6.508437774,,,,87.43908725,,,,,,,,,7.5,,,,,,,47.889431,,,,,12.73183972,58.13616562
2017,34.36478078,33425.0,,,,,,28.20000076,46.04,,78.84456116,61.14134886,,,80.94780887,17.3,22365.0,74.6719,15.23796916,,2.8,,75.8,0.742584464,,7.164038183,,2.741529357,,13.30402742,9.7945995,28.71105079,,43.7,16.4,6.706686742,,,,90.06332267,,,,,,,,,7.4,,,,,,,,,,,,10.04553735,53.29919815
2018,30.87765872,34952.0,,,,,75.86079862,23.39999962,53.087,,80.36665217,69.01069649,21.63333333,11.68981482,80.75868757,15.5,23314.0,77.8948,15.09032696,,2.5,,76.0,0.555386558,17.87873656,6.545574003,6.382413262,2.042248066,,17.2537135,9.0035563,22.51445515,,44.0,15.8,6.158992432,481.1911884,475.8734797,482.0670127,86.10250481,13.87488899,13.87488899,13.87488899,16.19696152,7.845315163,39.67542759,6.135423304,,6.8,,,3.5404814,1.653316259,1.702989936,1.644813418,,3.249612053,2.315039139,4.076212357,,8.660817891,47.90042877
2019,28.5842061,37305.0,,,,,,19.0,52.181,,80.56407844,70.96644248,20.67223454,,81.68223442,15.4,24712.0,81.3552,14.7226125,,2.2,,76.5,0.596891315,,7.822677135,,1.983316342,,13.5058742,9.1115379,20.0831309,,46.1,15.2,6.656684027,,,,87.08682516,,,,,,,,6.2,6.5,,,3.164325451,,,,,,,,57.37,7.125001401,47.70065308
2020,31.84128106,39611.0,,,,,,15.10000038,,,79.356336,62.22104204,21.69377133,9.327989049,82.63994933,14.1,26113.0,81.8329,14.45497721,,2.3,,75.1,0.966697163,,4.418259259,,2.553877677,,11.89398946,10.471503,25.73370299,,44.3,15.3,6.263219868,,,,88.6841465,,,,,,,,,6.3,,,3.337334201,,,,,,,,,11.13504618,47.63027573
2021,,42027.0,,,,,,12.89999962,,,79.87044728,63.91564709,,,81.34575392,,26038.0,85.9495,,,,,74.5,0.760015245,9.340655804,6.641702555,7.0,2.712646462,,12.86652609,11.594427,23.93418897,,,,5.293881989,,,,85.82917696,,,,,,,,,,,,,,,,,2.454482317,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.276553298,,,,,,,,,,,,,,,,,,,,,,,,,,
