year, PHWABSF,AAGE,ALS,ANS,AWLLS,AWLNS,EAP,ER,FSAN,FTUELT,GWG,HA,HDBRIP,HDI,HIAH,HO,HSG,H,JS,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,LUWH,NAB,NEET,Not FSAN,Not HSG,PH+,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,Satisfaction with personal relationships score less than 5,Satisfaction with personal relationships,Satisfaction with time use score less than 5,Satisfaction with time use,TAHDIQ,TALS,TANS,TEFTED,TMSD,TRSD,TSSD,Top personal relationship satisfaction scores quintile,VT,hco,SADdeaths
2004,,18649.0,,,,,,66.61656796,,,,75.84004056,,13026.0,,,,10.7,,75.4,23.69846098,,,,,0.042406148,,,21.80872,,,,,,,,,,,,,,,,,,,,,,,,,30.38744545
2005,,18777.0,,,,,99.594,66.65200058,,17.91515209,16.66666667,76.03284522,,13217.0,2.25,,,11.7,31.47660255,75.2,29.0862596,,,,,0.067895983,,,21.152912,,,65.6,,,,,,,,,,,,,,,3.75,,,,,,,31.34585571
2006,,18745.0,,,,,,67.6457646,55.8253708,16.30854832,18.60465116,76.75710501,,13853.0,4.11,,,11.5,,75.5,29.37564346,,,9.61364257,,0.061054034,,9.810156501,20.727236,43.45254056,,65.5,405.6546398,410.4964548,409.6519516,89.2999244,,,,,,,,,,,4.0,,,,,58.55,,29.49324036
2007,,18817.0,,,,,,67.70722182,57.48427586,19.08232779,12.5,76.75055718,,13906.0,6.1,,,9.0,,75.4,29.07821366,3.856039524,,11.90404946,,0.070444658,,7.878312661,20.747299,41.60015688,,,,,,86.31874369,,,,,,,,,,,3.888888889,,,,,,,29.97892761
2008,,18655.0,,,,,,67.48711377,50.57914935,18.1112945,22.22222222,76.59736109,,13930.0,9.6,,,14.0,,75.2,29.2346233,4.314804554,,12.35478546,,0.063572207,,9.323662287,21.220709,47.89717238,,,,,,87.54467391,,,,,,,,,,,3.927648579,,,,,,,30.44268608
2009,,18805.0,,,,,,66.97245183,43.72692783,16.90952323,16.66666667,79.09470955,,13903.0,13.74,,,18.2,,74.9,28.990332,5.723109722,,13.02187656,,0.09007491,,6.533882643,22.2279,54.37248156,,,418.5090946,425.2652993,415.9086722,85.79396297,,,,,,,,,,,3.75,,,,,,,29.83022118
2010,57.68985152,17617.0,,,,,99.571,66.72224295,51.53410926,19.12285836,11.62790698,79.03248724,,14088.0,21.0,35.65701246,,23.9,,74.8,29.27602337,5.754740238,,12.2815374,,0.106856862,,7.328779245,21.496744,45.40032977,,,,,,87.07537183,,,,,,,,,,,3.636363636,,,,,,16.4168179,30.07862663
2011,,17776.0,,,,,99.654,67.19943639,41.59479285,17.66799618,10.0,79.98461145,,14696.0,22.06,,,24.7,,74.9,28.56434654,5.603816509,,17.05373052,,0.112858768,,8.154596575,21.915434,56.0409285,,,,,,79.87773938,,,,,,,,,,,3.6,,,,,,,28.99748039
2012,57.6744318,17456.0,,,,,99.545,68.1022409,54.22371328,15.9937432,13.55555556,80.45555688,18.9,14487.0,24.56,35.04658341,,22.8,,75.0,28.88466598,5.274240971,,22.83143824,,0.091721767,,11.76915158,20.753096,44.4195432,,,413.2814666,423.5537619,414.9201479,75.27524008,,,,,,,,11.5,,,3.666666667,,,,,63.14,18.86291206,28.33068848
2013,,17469.0,,,,,99.568,68.15709274,54.86115927,14.2091327,15.43340381,80.37708222,,14405.0,29.04450439,,,19.8,,75.0,28.80876804,5.236632824,,23.39043592,,0.085029294,,7.60830575,20.062527,41.36269813,,,,,,73.72109017,,,,,,,,,,,3.875968992,,,,,,,27.9010334
2014,57.3782146,17502.0,,,,,99.521,67.67277532,51.68280491,14.75416613,18.3,80.50408358,16.7,14722.0,33.64922453,33.26596618,,18.1,,75.0,28.62081807,5.010507107,,21.37312898,,0.0818179,30.57334,9.444092496,19.923716,44.28332584,,,,,,76.65299506,,,,5.5,8.1,,,10.4,,,3.875968992,,,,1.428571429,,17.75865704,28.63794327
2015,,17729.0,,,,,99.484,68.13010377,39.88289365,17.25286728,16.66666667,81.50141709,,15257.0,38.73776878,,,18.2,28.89184189,74.7,29.42554042,4.576666832,,23.69387875,,0.075190008,,13.09957339,19.633341,59.26032066,,,408.0234776,423.2764792,415.7098829,75.28395616,,,,,,,,,,,3.875968992,,,,,,,28.51148796
2016,59.60685611,17521.0,,,,,99.483,68.46733533,45.98669962,16.09094484,16.49224806,81.39647327,16.6,15596.0,46.76413874,33.86959732,,21.5,,74.8,29.2897251,4.035128593,,10.5240296,,0.08013152,,5.909735492,19.36759,51.44814672,,,,,,88.28629005,,,,,,,,10.3,,,3.333333333,,,,,,11.4889659,28.78665352
2017,,17475.0,221.58141,210.13892,4.5433062,14.045317,99.483,68.5110635,39.66555914,13.32284917,11.11111111,81.36186571,,15543.0,50.50641135,,29.99727231,26.9,,74.9,28.7009631,,,19.97951064,,0.069780829,,9.259005866,18.571112,58.81931192,45.77382291,,,,,79.83786365,,,,,,,,,1.788185,1.934540749,3.571428571,,,,,,,27.62937737
2018,59.34069753,17864.0,,,,,99.483,68.94435472,41.99540066,15.66081044,14.0,81.51977117,15.9,15527.0,52.28208838,33.19112062,,30.1,,75.0,28.72399359,,,14.17953667,,0.053277107,,7.818052458,18.180202,57.55441984,,,408.8014734,420.4688923,419.2047193,85.72482435,35.03314476,35.03314476,35.03314476,,,,,8.6,,,3.333333333,1.638169885,1.689767599,1.58768034,,63.43,9.435047209,27.23889542
2019,,18033.0,,,,,99.483,69.46036382,40.72704894,17.07702122,,82.369713,,15873.0,55.62446327,,,28.8,,75.1,28.1511383,,,14.71577194,,0.063522726,,8.200818202,18.293638,58.20530218,,,,,,84.50447415,,,,,,,,,,,3.488372093,,,,,,,27.41218567
2020,53.47543359,17457.0,,,,,,66.4179226,42.27815372,16.85000706,,81.91261014,16.6,14789.0,59.54341172,31.04355633,,29.9,,75.2,26.97178302,,,21.81873943,,0.063350865,,14.45068695,19.488197,55.75236652,,,,,,76.82654929,,,,,,,,8.9,,,3.583333333,,,,,,18.40043217,28.84426117
2021,,16429.0,,,,,,67.82447853,45.80565691,13.16892299,12.5,,,15332.0,66.16840134,,,,,,27.42587755,,2.958083947,21.96828865,8.448710997,0.203912317,,13.6334906,18.056303,52.0147405,,,,,,77.25843312,,,,,,7.703481267,7.735932494,,,,3.359173127,,,,,,,
2022,,,,,,,,,47.38968473,,,,,,,,,,,,,,,14.06807387,,,,,,52.22239824,,,,,,85.25529458,,,,,,,,,,,,,,,,,,
