year, PHWABSF,AAGE,ALS,ANS,AWLLS,AWLNS,Access to green space,Difficulty making ends meet,EAP,ELFA,ER,FSAN,FTUELT,GGWH,GWG,HA,HDBRIP,HDI,HIAH,HO,HSG,H,JS,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,LUWH,MNW,NAB,NEET,Not FSAN,Not HSG,PH+,PH,RD,SMS,SRS,SSS,SS,Satisfaction with personal relationships score less than 5,Satisfaction with personal relationships,Satisfaction with time use score less than 5,Satisfaction with time use,Self-reported depression,TAHDIQ,TALS,TANS,TEFTED,TMSD,TO,TSISI,TSSD,TWHSD,Top LS scores quintile,Top personal relationship satisfaction scores quintile,Top satisfaction with time use quintile,VT,hco,SADdeaths
2004,,38240.0,,,,,,29.5,,,67.09912487,,,,,81.91714222,,24582.0,,,,1.3,,80.4,5.788893693,,,,,3.511275251,,,,12.336392,,,64.8,13.3,11.14285319,,,,,,,,,,,,,,,,,,,,,,75.66,,17.10801315
2005,,38404.0,,,,,,27.79999924,83.222,,68.91619567,,,,,81.45688293,,25041.0,20.7541,,,0.9,49.20050049,80.3,8.611535588,,,,,2.242968361,,,,15.811561,,,66.8,12.5,10.25952818,,,,,,,,,,,,,,,,,,,,,,,,16.23327827
2006,,38221.0,,,,,,30.89999962,,,70.24162686,68.74453046,10.11111111,,13.53333333,80.60027718,,25217.0,28.4993,,,0.8,,81.1,8.324851156,,,3.86942469,,1.839320266,,,10.50462869,14.01998,23.402841,,67.7,12.3,9.325159519,479.957507,460.8301121,488.4245227,95.45576827,,,,,,,,,3.098146129,,,,,,,,,,,15.17486572
2007,,38635.0,,,,,,28.0,,,71.08100284,60.47210819,,,,79.95369978,14.4,25298.0,38.2481,,,0.7,,81.1,7.838881831,4.159555435,,4.278790393,,1.687804737,,,12.5779706,14.580942,35.51451449,,67.5,11.7,8.536403956,,,,94.90168624,,,,,,5.4,,,,,,,,,,,,,,15.11329746
2008,,40000.0,,,,,,31.89999962,,,69.97374421,64.78237658,,,,79.86066476,14.6,25481.0,43.5725,,,0.8,,81.5,7.44940594,7.786121368,,5.109413536,,2.035801402,,,12.04731087,15.473826,30.14720946,,72.4,8.0,6.787983404,,,,93.66233896,,,,,,5.7,,,,,,,,,,,,75.32,,14.72818565
2009,,42518.0,,,,,,34.0,,,65.9291317,58.33646431,,77.28884125,,79.32218179,14.8,25559.0,50.3055,,,0.7,,81.9,6.865997712,9.728883743,,6.987496708,,4.273632618,14.61335,,15.32497908,20.514471,37.94482432,,70.6,8.6,5.869469444,483.4931402,481.042326,488.2546302,92.06105747,,,,,,6.0,,,,,15.748593,5.8043662,,,,,,,,14.66945076
2010,0.0,42116.0,,,,,,33.79999924,72.857,,64.98564178,72.79537366,10.61111111,,13.50446429,78.4597248,13.9,25138.0,56.1468,3.108756617,,0.7,38.97822952,82.4,6.596691375,10.6982851,,4.9590976,,7.316809032,,,17.00365551,20.777012,25.13978362,,71.8,8.1,5.3305662,,,,94.10473558,,,,,,6.1,,,3.098765432,,,,,,,,,,30.75978458,13.74776936
2011,0.0,41363.0,,,,,,29.0,82.775,,64.37242123,67.91529686,,,,77.99208771,14.7,24695.0,60.7518,3.725339472,,0.7,,82.6,6.28887494,12.91180801,,5.540909207,,8.948991914,,,18.64316708,21.265608,29.08559727,,75.3,7.4,4.414237725,,,,94.19416331,,,,,,6.3,,,,,,,,,,,,68.94,32.56799281,13.48860264
2012,0.469182665,40205.0,251.78983,245.82173,5.0195097,8.1720936,72.3320998,34.70000076,71.277,32.55,62.23120223,78.04715344,,,,76.68952791,14.1,23047.0,65.4722,2.902511694,23.09532162,0.6,,82.5,5.916703723,16.01952934,,6.25811285,,11.06151791,,242037.0,19.30986259,21.789431,20.1050634,59.64077536,74.3,8.1,4.064656966,484.3192978,487.9391816,496.445824,93.11386,,,,,,6.1,1.659192085,1.729124308,,,,,,45.577541,,,,,33.48458111,13.6592474
2013,0.745780207,40208.0,,,,,,38.79999924,61.648,,61.30985486,74.77839181,,,,76.57403908,15.9,22836.0,68.8264,3.072971292,,0.6,,83.2,5.892420466,18.1161499,9.742361307,7.073036922,6.880582388,13.02641012,,,20.65486386,22.40856,22.87072173,,71.6,8.4,3.595283245,,,,92.04529709,9.600558731,7.80626466,29.73424433,6.614705801,,6.6,,,,,,,,,2.382924474,1.87922075,3.076347597,,28.88252735,14.23542118
2014,0.537415268,40085.0,,,,,,39.09999847,48.434,,62.66080559,84.77944733,9.966666667,,11.54049762,76.63154807,15.3,22852.0,73.0153,2.947020531,,0.7,,83.3,5.606601684,17.30728531,,5.208696975,,12.97846904,,183113.0,18.54700006,19.796844,14.79657587,,72.6,8.3,3.629155439,,,,94.6980624,,,,,6.7,6.6,,,3.124100719,,,,,51.858299,,,,,32.72628784,14.10979271
2015,0.178140681,40684.0,,,,,,35.20000076,63.566,,64.64227006,81.6072441,,,,77.43251652,15.3,23769.0,77.8207,2.879716083,,0.6,35.01428986,83.0,5.215120605,18.52612877,,4.346357507,,11.44472695,,,13.54882112,18.414122,18.32379287,,72.4,7.5,3.636201975,485.8432173,495.5764353,492.7861361,95.50534834,,,,,,6.5,,,,,,,,,,,,73.2,30.12637496,13.21167469
2016,0.231587351,40455.0,,,,,,35.59999847,45.286,,66.60400917,82.87133346,,,,77.6830003,15.6,24335.0,81.1554,3.04321833,,0.6,,83.5,4.543380796,15.80751801,,5.824530258,,9.548469308,,,17.87092611,17.222164,15.58093724,,72.4,7.0,3.897493845,,,,94.14478327,,,,,,6.5,,,,,,,,,,,,69.84,27.64805853,12.90522861
2017,0.341100432,39927.0,,,,,,25.10000038,47.762,,68.0967627,81.95210887,,,,77.76412039,14.8,24689.0,82.6833,2.842445299,,0.7,,83.4,4.029482619,,,9.665767465,,7.709005174,,,18.75046886,15.728744,17.55658838,,74.2,6.6,3.93319678,,,,90.14409185,,,,,,6.0,,,,,,,,,,,,,29.29396927,12.70141411
2018,0.353958574,39794.0,,,,,73.4068352,27.10000038,47.898,38.96,69.52199872,84.05097048,10.82539683,,8.621607238,77.93156224,14.2,24955.0,86.1152,2.672517858,,0.6,,83.5,3.771602452,,6.123775616,8.913385623,7.3,6.405498611,,174229.0,25.10197709,15.319123,15.49354535,,73.6,7.4,3.870681765,481.3926126,,483.2520427,90.47173403,5.681394846,8.249152845,24.35544139,6.849886033,,5.9,,,3.169340463,1.626284003,,,1.639012575,52.668201,2.067752718,1.671276099,2.719802396,,24.11383539,12.13969326
2019,0.600650581,39877.0,,,,,,22.0,47.084,,70.60882968,77.51176264,10.15279191,,,78.68044591,14.7,25674.0,91.1694,3.0136941,,0.6,,84.0,3.153327984,,,5.074113203,,5.368799848,,,18.63290505,14.723445,21.45775125,,75.2,7.2,3.739049698,,,,94.4445883,,,,,4.8,5.7,,,3.700453734,,,,,,,,,71.76,24.4355619,12.4779377
2020,0.472371979,38426.0,,,,,,22.79999924,,,68.66269602,80.39695806,8.942473283,,8.093713127,79.37580927,15.4,25248.0,95.2835,3.702201322,,0.6,,82.4,2.50245704,,,6.506531338,,5.020350794,,,14.32636589,14.834249,18.88377456,,73.0,6.6,2.894410184,,,,93.49346866,,,,,,6.1,,,2.520240697,,,,,,,,,,21.33636475,13.4539938
2021,,39202.0,,,,,,21.60000038,,,70.52934231,80.89765257,,,,79.19766108,,25591.0,95.9109,,,,,83.3,2.79943051,,7.455146313,7.351397758,7.2,6.218172979,,,13.00595144,14.962555,18.74211135,,,,3.23426626,,,,92.55450304,,,,,,,,,,,,,,,2.309461355,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.70839704,,,,,,,,,,,,,,,,,,,,,,,,
