year, PHWABSF,AAGE,ALS,ANS,AWLLS,AWLNS,Access to green space,Difficulty making ends meet,EAP,ER,FSAN,GGWH,GWG,HA,HDBRIP,HDI,HIAH,HO,HSG,H,JS,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,NAB,NEET,Not FSAN,Not HSG,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,Satisfaction with personal relationships score less than 5,Satisfaction with personal relationships,Satisfaction with time use score less than 5,Satisfaction with time use,Self-reported depression,TAHDIQ,TALS,TANS,TEFTED,TMSD,TRSD,TSISI,TSSD,Top LS scores quintile,Top personal relationship satisfaction scores quintile,Top satisfaction with time use quintile,VT,hco,SADdeaths
2004,,38038.0,,,,,,10.30000019,,79.65291751,,,10.76233184,77.36672233,,25090.0,,,,1.1,,80.7,1.411051035,,,,,1.250268294,,9.0472298,,,71.7,7.4,5.347790193,,,,,,,,,,,,,,,,2.012195122,,,,,,,,,,17.53093719
2005,,38997.0,,,,,,8.5,6.677,80.32129353,,,11.30434783,77.34942238,,25604.0,40.1798,,,0.9,21.24345207,80.7,1.231489876,,,,,,,8.7843761,,,75.6,6.0,4.882708465,,,,,,,,,,,,,,,,2.029761905,,,,,,,,,,18.81486893
2006,,40082.0,,,,,,8.300000191,,80.92121665,72.95240919,,11.01694915,77.78286249,,26539.0,51.0102,,,0.9,,81.0,1.168721327,,,4.828542327,,,6.751052629,9.9365053,23.38222031,,75.9,5.9,4.918348779,502.3563982,507.3128802,503.3340059,94.66722471,,,,,,,,,,,,2.034883721,,,,,,,,81.99,,18.63322258
2007,,41423.0,,,,,,7.599999905,,82.02005137,68.54366168,,11.83673469,78.19332216,,27494.0,66.6176,,,1.2,,81.1,1.104938895,3.710769892,,8.271744652,,0.795323042,9.279676688,9.8175659,26.78359419,,77.6,5.2,5.168294936,,,,90.86156739,,,,,,,,,,,,2.056818182,,,,,,,,,,18.09210205
2008,,42217.0,,,,,,9.899999619,,82.38162135,64.71209313,,10.58823529,78.49249279,,28000.0,70.6515,,,0.8,,81.3,1.110176464,5.107018948,,7.613847826,,0.762329269,7.477699906,8.3813448,30.36482001,,76.9,5.8,4.323240291,,,,91.38571565,,,,,,,,,,,,2.053763441,,,,,,,,,,18.53468704
2009,,42368.0,,,,,,8.800000191,,80.8658305,69.15612099,,9.541984733,78.33521276,,28235.0,79.4893,,,0.9,,81.5,1.235836964,7.209847927,,9.558802489,,1.08062502,6.875782851,10.764587,26.56513392,,78.4,5.7,3.867616458,494.2381752,497.4494233,495.1058977,88.51336876,,,,,,,,,,,,2.03626943,,,,,,,,,,19.22208595
2010,0.0,42885.0,,,,,,8.300000191,8.235,80.71887352,78.92532124,8.321751595,9.36329588,78.20809954,,28731.0,82.5623,12.03038841,,1.0,21.68768501,81.6,1.28162417,5.268666744,,2.951534475,,1.511018102,8.358110327,9.675868,18.35447395,,78.4,5.4,2.847757798,,,,96.23511775,,,,,,,,,,,,2.040816327,,,6.148705278,,,,,84.63,28.75666618,17.72260475
2011,0.0,43524.0,,,,,,9.5,9.11,81.97135636,77.80223417,,9.157509158,78.74240018,,29311.0,85.5203,12.09995523,,0.8,,81.9,1.198617723,4.958110332,,7.837126142,,1.44676987,8.531264594,8.5391445,18.52222784,,78.5,5.4,3.388005187,,,,90.76944194,,,,,,,,,,,,2.035,,,,,,,,,27.00615227,17.76238251
2012,0.0,44447.0,279.23084,279.05243,2.8229564,4.259092,91.46089643,8.399999619,2.949,82.31397161,80.66140197,,9.285714286,79.46719196,,29982.0,87.0012,11.89402342,44.54124435,0.7,,81.8,1.144240608,5.252163887,,6.979081704,,1.426720892,7.615041624,9.0386944,15.49964481,31.40251556,79.6,4.9,3.005423999,478.2606359,483.3350057,484.7989666,91.87123629,,,,,,,,,,1.567880988,1.633056879,2.058823529,,,,,,,,,17.47259349,18.32374191
2013,0.0,44939.0,,,,,,7.699999809,2.949,82.62636501,77.77305842,,9.375,79.62232281,8.4,30221.0,,13.39094043,,0.8,,82.0,1.130844692,5.218687057,3.372905776,8.357580707,7.907482289,1.397486821,8.547830958,8.8863525,18.27320485,,79.8,4.6,2.720834149,,,,90.72227594,,,,5.574043261,8.351580699,21.29753169,7.431954636,,3.9,,,2.081730769,,,,,1.7831764,1.643648298,2.481887808,,18.59073043,18.9222641
2014,0.0,45439.0,,,,,,7.900000095,3.116,82.76875618,75.67171574,,9.152542373,79.73172644,8.7,30484.0,86.5255,12.59043515,,0.8,,82.3,1.102493494,5.453570366,,6.655468724,,1.365456844,10.39926966,8.5825863,20.40792539,,78.6,4.6,2.799417389,,,,92.26622409,,,,,,,,9.2,4.0,,,2.099056604,,,,,,,,85.81,18.04148555,19.13341331
2015,0.0,46132.0,,,,,,7.099999905,2.949,83.10950529,76.82317352,,8.333333333,79.79970638,8.9,30990.0,82.9505,14.60314989,,1.0,23.56370544,82.2,1.11574885,5.035622597,,7.008194337,,1.331655272,8.445655746,8.1446066,20.6702258,,77.7,4.5,2.657131088,493.9181221,500.1556066,493.4223562,92.34241174,,,,,,,,,4.1,,,2.087962963,,,,,,,,,22.93403,19.06590271
2016,0.0,46849.0,,,,,,7.599999905,1.625,83.59102402,75.28376271,,8.169934641,80.04349469,8.8,31788.0,88.6294,15.08553475,,0.9,,82.4,1.114093013,4.390868187,,8.766752963,,1.195293349,9.23421404,7.6438007,21.15218533,,75.0,5.6,2.740833764,,,,90.92414952,,,,,,,,,4.1,,,2.109090909,,,,,,,,,20.77972144,22.26198006
2017,0.0,47101.0,,,,,,7.0,2.949,84.13258872,74.66776716,,7.348242812,80.03973138,9.3,31776.0,93.0705,13.32867295,,1.1,,82.5,1.065597382,,,8.555717909,,1.145531652,8.691699872,7.3603187,22.16870966,,76.5,5.7,2.521222036,,,,90.94877143,,,,,,,,,4.2,,,2.115044248,,,,,,,,,22.92553633,23.05060577
2018,0.0,47339.0,,,,,91.39688088,8.0,1.9,84.68593423,77.09798775,,7.142857143,79.84607138,8.7,31852.0,91.3616,14.50202763,,1.0,,82.6,0.974280737,,4.686484858,6.90874801,7.796566756,0.930340171,7.995367721,8.4927673,20.16507991,,76.1,5.7,3.20150447,502.3877022,505.7852205,499.4446901,92.75516833,10.49019763,10.49019763,10.49019763,5.850146264,8.536072489,23.41781143,7.347235284,,4.0,,,2.139130435,1.61553669,1.778866768,,1.69481647,1.941770459,1.673541604,2.568871008,87.18,21.6593653,22.5939579
2019,0.0,47835.0,,,,,,7.599999905,1.625,84.45998805,76.68466792,,7.575757576,79.85267671,9.1,32049.0,94.8412,14.36141729,,,,83.2,0.868886911,,,6.618097701,,0.839718538,8.998332363,6.2261124,20.44150298,,76.0,5.1,2.160273739,,,,93.11970268,,,,,,,,10.5,4.1,,,2.127659574,,,,,,,,,22.12804258,
2020,0.0,48430.0,,,,,,7.400000095,,83.32639861,79.25027477,,7.418397626,79.777351,8.8,31499.0,90.9997,14.37514126,,,,82.4,0.920535191,,,6.439824918,,1.000473553,11.32964228,6.7837892,19.71212417,,76.5,5.2,1.975291619,,,,93.53006638,,,,,,,,,4.1,,,2.142259414,,,,,,,,,21.47812992,
2021,,48951.0,,,,,,7.400000095,,82.9384064,81.03104551,,,79.53219987,9.2,32261.0,90.9632,,,,,83.2,5.614574382,,5.224746466,6.818043288,7.5,1.741315454,9.695727253,13.127841,18.58504842,,,,1.936547714,,,,93.18195671,,,,,,,,,4.3,,,,,,,,1.95198977,,,,,
2022,,,,,,,,,,,82.36303636,,,,,,,,,,,,,,,5.055813289,,,,,17.38292878,,,,2.173925535,,,,94.74005803,,,,,,,,,,,,,,,,,,,,,,
