year, PHWABSF,AAGE,Access to green space,Difficulty making ends meet,EAP,ELFA,ER,FSAN,FTUELT,GGWH,GWG,HA,HDBRIP,HDI,HIAH,HO,H,JS,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,LUWH,MNW,NAB,NEET,Not FSAN,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,Satisfaction with personal relationships score less than 5,Satisfaction with personal relationships,Satisfaction with time use score less than 5,Satisfaction with time use,Self-reported depression,TAHDIQ,TEFTED,TMSD,TO,TRSD,TSISI,TSSD,TWHSD,Top personal relationship satisfaction scores quintile,Top satisfaction with time use quintile,VT,hco,SADdeaths
2004,,45191.0,,,,,75.26198956,,20.96628786,,23.35874097,75.10727949,11.6,26255.0,,,0.5,,79.0,13.29401527,,,,,0.98867427,,,,11.854926,,73.9,,5.617980902,,,,,,,,,,,,,6.0,3.52736609,,,,,,,,,,,13.18154526
2005,,45236.0,,13.10000038,90.55,,75.54544326,,20.97568905,,22.0639582,75.13060869,12.0,26655.0,31.5439,,0.4,28.4487896,79.2,12.91194454,,,,,1.043260173,,,,13.010754,,74.8,7.2,5.521965073,,,,,,,,,,,,,6.1,3.604338978,,,,,,,,,61.36,,12.74426556
2006,,46501.0,,13.69999981,,,75.62155817,63.02916407,20.74729203,,21.71808402,75.0667438,12.6,26909.0,43.9227,,0.4,,79.5,12.46599424,,,2.112112181,,1.211217034,,,9.907406661,14.496525,32.11678492,76.6,6.5,5.421928366,495.4441585,495.0835096,514.7735479,97.70297753,,,,,,,,,6.4,3.62135145,,,,,,,,,,,12.82006645
2007,,47699.0,,13.60000038,,,75.75958186,61.81106996,20.54698935,,21.63478071,75.37374386,12.8,27575.0,56.7483,,0.4,,79.7,12.60078067,3.838387489,,3.008431106,,1.243359082,,,12.41531039,14.326434,34.72359026,77.4,6.2,4.988659728,,,,96.83891279,,,,,,,,,6.6,3.592023193,,,,,,,,,,,12.6607523
2008,,46590.0,,17.0,,,75.7100636,65.24687776,21.19771914,,21.85786911,75.38384455,12.3,27224.0,61.5147,,0.3,,79.8,12.48767081,5.012593746,,4.613779698,,1.392640146,,,12.82948727,14.214196,32.83309565,79.2,5.2,4.278289587,,,,95.33506764,,,,,,,,,6.5,3.63114508,,,,,,,,,,,13.33471489
2009,,46710.0,,16.79999924,,,74.59551562,64.09147295,20.61492113,,20.68629595,75.94897243,11.2,27459.0,69.467,,0.3,,80.4,11.89421503,6.737187386,,3.550678197,,1.90384085,,262640.0,10.83469604,14.510193,32.57540692,78.2,5.9,3.753584577,492.4140783,494.18201,513.7102399,96.26823671,,,,,,,,,6.5,3.599024873,,,,,,47.25832,,,,,13.15064526
2010,0.0,46910.0,,16.39999962,86.13,,74.52956319,71.15956315,20.66987102,,19.23143692,75.71864194,11.0,27517.0,,1.432575192,0.3,28.51524162,80.6,11.71182616,5.727373123,,4.466241291,,2.530213568,,,8.704265549,14.811485,25.73786507,79.4,5.8,3.03539916,,,,94.93412888,,,,,,,,,5.9,3.581929117,,,,,,,,,65.77,23.86431098,12.7378397
2011,0.126582617,46073.0,,16.5,88.51,,74.3994839,71.77245966,20.56021123,,18.2460052,75.62350086,10.4,26758.0,80.3639,1.971457526,0.3,,81.0,12.02166468,6.247018337,,5.121044554,7.42,2.729296715,,256422.0,8.973536227,14.526379,26.48699331,77.5,5.7,3.097093323,,,,94.7251326,,,,,,,,,5.9,3.615133961,,,,,,48.25259,,,,20.07979006,12.97874451
2012,0.168274425,45525.0,58.02470019,20.20000076,79.092,,75.17112828,74.94460362,20.45034642,,17.78388278,75.29062491,10.5,27170.0,85.5795,1.559104864,0.2,,81.0,12.23460245,5.723538399,,6.529933071,7.46,2.792828397,,,9.388628409,15.205557,23.00821725,74.7,8.2,2.828662038,493.934231,499.3231153,514.129322,93.27794149,,,,,,,,,5.9,3.551577455,,,,,,,,,,17.78795123,12.86483192
2013,0.630340911,46022.0,,21.10000038,77.405,,75.94239448,72.63361941,20.51632758,,17.48201439,75.24288709,10.4,27556.0,87.4423,1.553403772,0.2,,81.1,12.64506348,5.052676201,,6.301057195,7.51,2.777177043,,242117.0,16.14744259,14.36874,25.62290768,73.7,8.4,2.76106691,,,,93.53204047,,,,9.818127038,8.343667535,29.27829508,6.857471413,,6.0,3.547130435,,,,,,51.99947,1.958297139,3.335026466,,18.35338026,13.66005039
2014,0.272201304,46045.0,,20.29999924,71.628,,76.99842699,78.89184882,20.40382572,20.53022194,17.38274257,75.41384097,10.5,28019.0,88.1832,1.440511271,0.2,,81.4,12.83328413,3.883511543,,8.971862007,7.61,2.280737281,11.01265,,11.26750055,12.989417,19.82971588,69.9,9.1,2.870113346,,,,90.99021997,,,,,,,,8.2,6.0,3.561306009,,14.93947,,5.6518643,,,,,,17.14178622,14.91767788
2015,0.689025037,46813.0,,16.39999962,61.394,31.51000023,77.7614294,77.84268838,19.98068462,,17.10155148,75.57389354,10.9,29373.0,89.9422,1.125449874,0.2,20.70475388,81.0,12.82324837,3.744988441,,6.385677324,7.65,1.651925374,,257607.0,11.55705535,12.409659,21.9086462,69.8,8.7,2.770694299,492.4785307,497.9719311,509.2215029,93.3682863,,,,,,,,,6.1,3.495103006,,,,,,51.988651,,,66.12,16.35574698,15.47909164
2016,0.356730889,47512.0,,16.29999924,58.928,,78.1843656,75.34282736,19.27840603,,16.7965368,75.01541564,11.1,29347.0,91.9025,1.043479983,0.2,,81.2,12.76464088,3.297863483,,4.588578631,7.68,1.317877236,,,11.50579407,11.925607,23.64581253,69.0,8.9,2.794333998,,,,95.31117665,,,,,,,,,6.0,3.427646488,,,,,,,,,,17.1130985,15.84692001
2017,0.027074083,47614.0,,14.10000038,57.404,40.0000006,79.03660817,79.88290649,18.97636546,,16.53410053,75.20374085,11.9,29470.0,93.1399,1.118475478,0.5,,81.3,12.37525834,,,6.250470035,7.69,1.139197123,,247976.0,8.616421853,10.967877,18.85095676,74.8,7.1,2.810408183,,,,93.74952997,,,,,,,,,6.2,3.424270931,,,,,,51.958611,,,69.31,16.53711647,15.59101677
2018,0.569316605,47872.0,56.90434222,12.80000019,56.357,,79.3441091,79.32527943,18.96105269,,16.3104242,75.33989343,11.7,29883.0,94.8185,0.865007378,0.6,,81.3,12.01086322,,,7.119673281,7.71,1.069988964,,,8.655326344,12.039447,19.71762212,73.2,7.5,2.768096298,501.7698992,503.9281094,504.6674736,92.43378649,9.021561465,9.021561465,9.021561465,6.116199374,8.47668266,25.19262476,7.071829198,,6.5,3.415100061,1.628732204,,1.700297713,,1.689394236,,1.656511361,2.850324977,,16.36345536,17.72041512
2019,0.0,48616.0,,,54.587,,79.97542992,74.4557389,18.06,,16.09980928,75.90514624,12.4,30363.0,95.8444,0.857434515,0.5,,81.4,11.79285843,,4.72,5.677577914,7.66,0.955016673,,,11.17980667,11.567747,24.03873091,72.9,7.4,2.706716206,,,,93.37479774,,,,,,,,,6.5,3.335648148,,,,,,,,,67.55,17.7878812,17.84948921
2020,0.0,48564.0,,,,,79.66118559,78.35772227,18.02,,11.98380567,76.01867357,11.2,29205.0,,0.765710557,0.3,,80.4,10.77493059,,6.13,7.031851581,7.39,0.944766601,,,11.34109672,12.120265,20.68558279,,,2.259928139,,,,92.50354616,,,,,,,,,6.1,3.37854251,,,,,,,,,,18.4971109,
2021,,49979.0,,,,,79.33024196,68.0601235,16.66,,14.34929405,76.20123925,,30239.0,,,,,,10.54066287,,5.08,14.59146499,7.54,1.283040312,,,8.983592593,11.487399,30.31725712,,,2.388358747,,,,85.37035943,,,,,,,,,,3.157169862,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.613055293,,,,,,,,,,,,,,,,,,,,,,,,,
